"seqnames","seqlengths","nonrepeat","DNA","DNA-LINE","DNA-LINE-LTR","DNA-LINE-LTR-Unknown","DNA-LINE-RC","DNA-LINE-RC-tandem_repeat-Unknown","DNA-LINE-RC-Unknown","DNA-LINE-tandem_repeat","DNA-LINE-Unknown","DNA-LTR","DNA-LTR-RC","DNA-LTR-RC-tandem_repeat","DNA-LTR-RC-Unknown","DNA-LTR-tandem_repeat","DNA-LTR-tandem_repeat-Unknown","DNA-LTR-Unknown","DNA-RC","DNA-RC-tandem_repeat","DNA-RC-tandem_repeat-Unknown","DNA-RC-Unknown","DNA-tandem_repeat","DNA-tandem_repeat-Unknown","DNA-Unknown","LINE","LINE-LTR","LINE-LTR-RC-Unknown","LINE-LTR-Simple-tandem_repeat","LINE-LTR-Simple-tandem_repeat-Unknown","LINE-LTR-Simple-Unknown","LINE-LTR-tandem_repeat","LINE-LTR-Unknown","LINE-RC","LINE-RC-tandem_repeat","LINE-RC-tandem_repeat-Unknown","LINE-RC-Unknown","LINE-Simple-tandem_repeat","LINE-tandem_repeat","LINE-tandem_repeat-Unknown","LINE-Unknown","LTR","LTR-RC","LTR-RC-tandem_repeat","LTR-RC-tandem_repeat-Unknown","LTR-RC-Unknown","LTR-Satellite","LTR-Satellite-Unknown","LTR-Simple","LTR-Simple-tandem_repeat","LTR-Simple-tandem_repeat-Unknown","LTR-Simple-Unknown","LTR-tandem_repeat","LTR-tandem_repeat-Unknown","LTR-tRNA","LTR-tRNA-Unknown","LTR-Unknown","RC","RC-tandem_repeat","RC-tandem_repeat-Unknown","RC-Unknown","rRNA","rRNA-tandem_repeat","rRNA-Unknown","Satellite","Satellite-tandem_repeat","Satellite-tandem_repeat-Unknown","Satellite-Unknown","Simple","Simple-tandem_repeat","Simple-tandem_repeat-Unknown","Simple-Unknown","tandem_repeat","tandem_repeat-tRNA","tandem_repeat-Unknown","tRNA","tRNA-Unknown","Unknown"
"Scaffold_351",10018487,9654643,6005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,794,7334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221,NA,7,6046,542,68,NA,NA,NA,NA,NA,90,139,15,262,1,NA,NA,363,11705,4440,25,587,NA,NA,NA,NA,NA,NA,NA,613,334,NA,NA,300404,NA,1777,106,NA,21966
"Scaffold_412",8551548,8148354,3332,692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,13,2187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,4509,147,22,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,290,3376,398,NA,52,NA,NA,NA,715,1630,866,998,125,116,NA,NA,357281,NA,10810,370,NA,15007
"Scaffold_230",312319,245652,3721,723,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6307,597,NA,NA,NA,NA,104,NA,NA,NA,NA,NA,NA,6,NA,151,12068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481,1,NA,NA,849,2572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,18908,NA,4971,NA,NA,15163
"Scaffold_350",82333,31735,1472,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,79,4481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21206,507,43,NA,NA,NA,NA,NA,NA,NA,NA,821,NA,NA,NA,1990,3724,18,NA,704,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,10665,NA,448,NA,NA,4367
"Scaffold_369",77570,40087,1477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,10236,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,111,NA,306,8461,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,8183,31,NA,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4818,NA,932,NA,NA,2564
"Scaffold_60",125062,77587,2358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,6644,11,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,22707,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,444,5364,586,NA,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6489,NA,277,NA,NA,2278
"Scaffold_285",965532,794858,7852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,137,NA,NA,43,NA,805,14726,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48284,8,NA,NA,NA,NA,NA,78,102,NA,NA,244,NA,NA,NA,1794,8239,865,NA,777,NA,NA,NA,NA,NA,NA,NA,448,106,NA,NA,56692,NA,2678,NA,NA,26786
"Scaffold_407",128694,84654,876,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,513,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,465,232,NA,NA,2409,1006,142,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8867,NA,142,NA,NA,5044
"Scaffold_171",30819,4492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7067,NA,89,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1349,NA,12132,NA,NA,3506
"Scaffold_28",10019847,9469645,3239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,32,8532,NA,NA,NA,74,8,NA,NA,NA,NA,NA,NA,105,57,NA,NA,39696,NA,NA,NA,NA,NA,NA,5,1,195,2,1096,206,NA,NA,861,2387,964,NA,NA,148,NA,NA,155,503,393,391,402,474,NA,NA,458867,NA,2644,NA,NA,28725
"Scaffold_110",225761,183100,855,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,384,3524,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,5538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,122,NA,NA,42,9832,178,558,1195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13100,NA,1487,NA,NA,5566
"Scaffold_260",201838,163073,3343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223,1365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,496,NA,NA,NA,633,591,NA,NA,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7350,NA,202,NA,NA,6050
"Scaffold_362",173090,140262,2413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,21,80,172,653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,818,2163,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7761,NA,2281,70,NA,5815
"Scaffold_316",24656,844,1129,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,16,505,NA,536,19,NA,825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7047,756,249,375,1994,NA,NA,NA,NA,NA,NA,284,NA,NA,NA,NA,5520,239,364,3486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,428
"Scaffold_373",13833,5710,247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4118,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,574,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,866,NA,418,NA,NA,1690
"Scaffold_255",25836,13236,1134,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,872,4041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2363,385,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,51,903,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,NA,266,NA,NA,2299
"Scaffold_361",171566,128714,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,795,NA,NA,NA,698,431,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8578,NA,482,NA,NA,6336
"Scaffold_247",384296,251835,3800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,NA,NA,NA,106,NA,NA,7957,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,353,NA,NA,2754,26547,2602,942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32949,NA,460,NA,NA,20422
"Scaffold_4",192509,136091,1026,8,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,651,16681,NA,NA,NA,NA,NA,NA,1,22,NA,NA,NA,NA,NA,NA,2,17601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,1516,NA,NA,1090,487,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15055,NA,170,NA,NA,1858
"Scaffold_256",988651,795494,4463,NA,NA,NA,NA,NA,NA,9,NA,3,NA,NA,NA,NA,NA,125,NA,NA,NA,NA,1799,NA,8,38269,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,NA,NA,66243,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,3646,432,NA,NA,1520,10468,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50703,NA,2660,NA,NA,12218
"Scaffold_384",20960,4433,NA,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12120,312,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,91,NA,51,2705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,831,NA,NA,NA,NA,NA
"Scaffold_83",41533,5428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20410,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,800,NA,NA,NA,392,NA,NA,NA,NA,NA,NA,NA,1543,3029,NA,NA,NA,NA,NA,NA,7302,NA,635,NA,NA,1954
"Scaffold_219",16347,3415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,529,1125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,440,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8058,NA,1231,NA,NA,1521
"Scaffold_402",6519,2568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2766,NA,449,NA,NA,736
"Scaffold_389",100210,98182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1658,NA,NA,NA,NA,370
"Scaffold_69",4151351,3987198,2723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,95,14976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1146,NA,NA,2252,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,3421,163,NA,29,NA,NA,NA,NA,NA,NA,81,244,112,NA,NA,112313,NA,603,528,NA,25237
"Scaffold_213",307031,281480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168,NA,NA,NA,NA,506,64,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,20538,16,173,268,NA,327
"Scaffold_325",541551,520332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2180,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,64,NA,NA,17065,NA,171,NA,NA,1359
"Scaffold_391",92682,52810,367,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,301,107,342,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16754,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,857,135,NA,NA,697,13382,822,13,1066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4239,NA,171,NA,NA,465
"Scaffold_154",27413,26446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,NA,NA,NA,NA,375,NA,NA,NA,NA,430
"Scaffold_98",56068,54227,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,493,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501,NA,16,NA,NA,317
"Scaffold_159",28147,3467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,4970,NA,NA,19288
"Scaffold_320",18101,4885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,2266,NA,NA,10543
"Scaffold_45",18064,4969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,2256,NA,NA,10430
"Scaffold_187",2006891,1920040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,531,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,59,NA,NA,74903,NA,3184,385,NA,6724
"Scaffold_42",20114,4702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6598,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,NA,NA,NA,368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,672,NA,NA,NA,NA,746
"Scaffold_6",98409,57579,1291,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,12,171,196,5091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,5292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,12993,341,NA,2063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9897,NA,NA,NA,NA,3365
"Scaffold_231",12477,5038,490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2951,5,NA,NA,4,NA,NA,NA,NA,NA,NA,128,NA,NA,NA,254,2452,46,NA,434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,675,NA,NA,NA,NA,NA
"Scaffold_12",28808,4010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,8157,122,NA,864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,599,NA,270,NA,NA,1908
"Scaffold_313",47235,9301,661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,697,4704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,32,NA,8489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248,254,NA,NA,201,9647,NA,NA,1528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1844,NA,3274,NA,NA,6176
"Scaffold_236",101120,53050,1816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,4504,211,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35733,NA,1301,NA,NA,3328
"Scaffold_214",103604,58341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13215,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,8712,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5114,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18099,NA,NA,NA,NA,NA
"Scaffold_151",19537,18042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,NA,NA,NA,NA,1157
"Scaffold_340",19261,12082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1303,NA,10,NA,NA,1925
"Scaffold_238",27207,16449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,5140,NA,NA,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1501,NA,10,NA,NA,2255
"Scaffold_39",34648,3019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15818,NA,NA,NA,NA,NA,NA,94,76,NA,NA,596,418,NA,NA,35,633,460,6449,81,NA,NA,NA,NA,NA,NA,NA,334,119,NA,NA,190,NA,3295,NA,NA,3031
"Scaffold_44",13345,2605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,NA,NA,NA,664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,143
"Scaffold_156",127979,76792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9940,NA,NA,NA,NA,NA
"Scaffold_79",70988,29000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3658,NA,1783,NA,NA,1743
"Scaffold_354",16826,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,NA,NA,NA,NA,1169
"Scaffold_363",58818,20468,407,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,49,242,NA,NA,NA,NA,NA,1127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13319,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,908,269,NA,NA,298,10162,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5226,NA,2818,NA,NA,3149
"Scaffold_334",42206,27637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3174,680,NA,NA,NA,NA,NA,NA,NA,NA,NA,7350,NA,NA,NA,NA,NA
"Scaffold_178",86778,72704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9490,NA,97,NA,NA,3328
"Scaffold_31",139088,122039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,31,3200,78,1466,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9704,NA,NA,NA,NA,605
"Scaffold_89",7354,4704,36,521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,232,1051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,NA,NA,NA,NA,29
