"seqnames","seqlengths","nonrepeat","DNA","DNA-LINE","DNA-LINE-LTR","DNA-LINE-LTR-RC","DNA-LINE-LTR-RC-Unknown","DNA-LINE-LTR-tandem_repeat","DNA-LINE-LTR-tandem_repeat-Unknown","DNA-LINE-LTR-Unknown","DNA-LINE-RC","DNA-LINE-RC-tandem_repeat","DNA-LINE-RC-tandem_repeat-Unknown","DNA-LINE-RC-Unknown","DNA-LINE-tandem_repeat","DNA-LINE-tandem_repeat-Unknown","DNA-LINE-Unknown","DNA-LTR","DNA-LTR-RC","DNA-LTR-RC-tandem_repeat","DNA-LTR-RC-tandem_repeat-Unknown","DNA-LTR-RC-Unknown","DNA-LTR-tandem_repeat","DNA-LTR-tandem_repeat-Unknown","DNA-LTR-Unknown","DNA-RC","DNA-RC-tandem_repeat","DNA-RC-tandem_repeat-Unknown","DNA-RC-Unknown","DNA-Satellite-tandem_repeat","DNA-Simple","DNA-Simple-Unknown","DNA-tandem_repeat","DNA-tandem_repeat-Unknown","DNA-Unknown","LINE","LINE-LTR","LINE-LTR-RC","LINE-LTR-RC-tandem_repeat","LINE-LTR-RC-tandem_repeat-Unknown","LINE-LTR-RC-Unknown","LINE-LTR-Simple","LINE-LTR-Simple-tandem_repeat","LINE-LTR-Simple-tandem_repeat-Unknown","LINE-LTR-Simple-Unknown","LINE-LTR-tandem_repeat","LINE-LTR-tandem_repeat-Unknown","LINE-LTR-Unknown","LINE-RC","LINE-RC-tandem_repeat","LINE-RC-tandem_repeat-Unknown","LINE-RC-Unknown","LINE-rRNA","LINE-rRNA-tandem_repeat","LINE-rRNA-Unknown","LINE-Satellite","LINE-Simple","LINE-Simple-tandem_repeat","LINE-Simple-tandem_repeat-Unknown","LINE-Simple-Unknown","LINE-tandem_repeat","LINE-tandem_repeat-Unknown","LINE-Unknown","LTR","LTR-RC","LTR-RC-Simple","LTR-RC-Simple-tandem_repeat","LTR-RC-tandem_repeat","LTR-RC-tandem_repeat-Unknown","LTR-RC-Unknown","LTR-rRNA","LTR-rRNA-Satellite","LTR-rRNA-Satellite-Simple","LTR-rRNA-Satellite-tandem_repeat","LTR-rRNA-Simple","LTR-rRNA-Unknown","LTR-Satellite","LTR-Satellite-Unknown","LTR-Simple","LTR-Simple-tandem_repeat","LTR-Simple-tandem_repeat-Unknown","LTR-Simple-Unknown","LTR-tandem_repeat","LTR-tandem_repeat-Unknown","LTR-tRNA","LTR-tRNA-Unknown","LTR-Unknown","RC","RC-Satellite","RC-Satellite-tandem_repeat","RC-Simple","RC-Simple-tandem_repeat","RC-Simple-tandem_repeat-Unknown","RC-Simple-Unknown","RC-tandem_repeat","RC-tandem_repeat-Unknown","RC-Unknown","rRNA","rRNA-Satellite","rRNA-Satellite-Simple","rRNA-Satellite-Simple-tandem_repeat","rRNA-Satellite-tandem_repeat","rRNA-Simple","rRNA-Simple-tandem_repeat","rRNA-tandem_repeat","rRNA-tandem_repeat-Unknown","rRNA-Unknown","Satellite","Satellite-Simple","Satellite-Simple-tandem_repeat","Satellite-tandem_repeat","Satellite-tandem_repeat-Unknown","Satellite-Unknown","Simple","Simple-tandem_repeat","Simple-tandem_repeat-Unknown","Simple-Unknown","tandem_repeat","tandem_repeat-tRNA","tandem_repeat-Unknown","tRNA","tRNA-Unknown","Unknown"
"Scaffold_189",194860,57803,1025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,142,10627,38,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,102,495,100346,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1290,45,NA,NA,6111,5951,NA,NA,NA,NA,NA,NA,176,48,1104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2137,NA,793,NA,NA,6106
"Scaffold_314",123513,16433,3280,336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,794,NA,NA,NA,NA,NA,NA,NA,NA,NA,993,24946,573,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,699,43832,192,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1751,825,NA,NA,6510,3622,NA,NA,NA,NA,NA,NA,399,NA,484,5003,281,NA,NA,NA,NA,NA,336,16,457,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3740,NA,1771,NA,NA,6066
"Scaffold_43",4092272,3699449,56723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337,NA,NA,NA,NA,NA,NA,912,522,1853,23410,4,NA,NA,NA,324,NA,NA,NA,NA,NA,NA,1,147,NA,NA,94,NA,NA,NA,NA,19,5,87,NA,565,NA,187,3303,552,NA,NA,64,NA,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,91,103,NA,NA,2543,64557,NA,NA,NA,NA,NA,NA,1639,276,3195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216,NA,NA,NA,NA,NA,190,439,122,3,87948,NA,4751,344,NA,136868
"Scaffold_13",320608,125766,6519,362,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354,NA,NA,146,252,NA,NA,55,121,NA,52,320,NA,NA,NA,7,179,1513,21753,512,NA,NA,NA,NA,NA,NA,NA,NA,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1009,75232,16,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980,806,NA,NA,8068,15680,NA,NA,NA,NA,NA,NA,3613,6671,4361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16941,NA,1018,NA,NA,27109
"Scaffold_125",68683,10395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,680,248,NA,51,NA,NA,NA,NA,NA,NA,756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12443,4,NA,NA,NA,NA,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328,217,NA,NA,1562,29691,NA,NA,NA,NA,NA,NA,1208,1647,6053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762,NA,1332,NA,NA,1103
"Scaffold_119",135779,23715,11936,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,46,204,969,2213,261,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,58005,994,NA,NA,60,NA,581,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,2184,116,NA,NA,5659,13037,NA,NA,NA,NA,NA,NA,374,27,5830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1789,NA,172,NA,NA,7431
"Scaffold_355",237628,95343,6818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,123,NA,NA,NA,269,NA,NA,NA,267,NA,2577,12716,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,230,78947,133,NA,NA,21,365,624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1848,651,NA,NA,8026,3184,NA,NA,NA,NA,NA,NA,158,90,1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8026,NA,854,NA,NA,13940
"Scaffold_149",516885,219802,8614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,6,NA,NA,3,NA,NA,NA,297,NA,16,508,NA,NA,NA,153,366,778,40568,154,114,10,NA,NA,NA,NA,NA,NA,50,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,125,112917,566,NA,NA,3,NA,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2362,387,NA,NA,11369,44022,NA,NA,NA,NA,NA,NA,6997,2040,6315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18108,NA,7376,NA,NA,32370
"Scaffold_47",78802,727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,619,6974,NA,NA,1619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1016,NA,52521,NA,NA,8728
"Scaffold_283",97143,38885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11236,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,5900,NA,NA,1820,8509,NA,NA,NA,NA,NA,NA,192,370,493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4187,NA,17478,NA,NA,6541
"Scaffold_361",171566,45412,3150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,2,116,NA,NA,NA,NA,NA,NA,NA,NA,466,24237,697,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,NA,671,64861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2135,1726,NA,NA,4205,1277,NA,NA,NA,NA,NA,NA,180,616,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA,3082,NA,NA,16307
"Scaffold_403",62203,24515,5480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,186,5907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,243,NA,NA,2543,2293,NA,NA,NA,NA,NA,NA,80,106,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,NA,NA,NA,9160,NA,1076,NA,NA,4550
"Scaffold_4",192509,31045,3791,8,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,232,NA,NA,NA,NA,NA,NA,291,95,NA,NA,NA,NA,NA,NA,NA,NA,1385,36296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,21,1594,74361,41,NA,NA,17,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1282,1516,NA,NA,6752,15554,NA,NA,NA,NA,NA,NA,11123,NA,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1477,NA,1392,NA,NA,3998
"Scaffold_380",232162,67812,2954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1689,1762,9,NA,NA,NA,NA,NA,NA,24,1,NA,NA,NA,NA,NA,NA,143,1598,2530,11475,935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,206,2285,2243,60430,199,NA,NA,22,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3275,1458,NA,NA,8551,32212,NA,NA,NA,NA,NA,NA,884,254,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6486,NA,2711,NA,NA,18023
"Scaffold_6",98409,14903,2852,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,662,244,5,195,NA,NA,NA,NA,183,235,10387,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,1224,17276,235,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,530,1042,NA,NA,3244,23067,NA,NA,NA,NA,NA,NA,1227,927,3007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1406,NA,4849,NA,NA,10261
"Scaffold_191",201142,35510,11855,362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,NA,25,3,NA,1,40,NA,NA,NA,490,174,764,11753,415,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,374,99496,133,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6526,1193,NA,NA,12269,5511,NA,NA,NA,NA,NA,NA,733,73,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3080,NA,2372,NA,NA,7367
"Scaffold_61",264176,89668,7945,556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,201,268,NA,NA,261,NA,NA,NA,NA,10,180,52285,964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321,NA,NA,NA,NA,NA,NA,NA,NA,172,131,587,33780,378,NA,NA,69,2280,72,NA,NA,NA,NA,NA,NA,NA,NA,142,242,NA,NA,1255,3686,NA,NA,6262,20792,NA,NA,NA,NA,NA,NA,1745,468,4256,4953,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5639,NA,5745,NA,NA,18773
"Scaffold_260",201838,95054,5860,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,NA,1039,20099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,1004,44299,143,NA,NA,42,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,804,137,NA,NA,1785,7152,NA,NA,NA,NA,NA,NA,341,185,3790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4833,NA,1498,NA,NA,13416
"Scaffold_277",28293,2662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,459,369,NA,NA,1714,1235,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,462,NA,1609,NA,NA,6154
"Scaffold_132",44482,7672,1047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11783,561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,17049,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,659,318,NA,NA,1277,518,NA,NA,NA,NA,NA,NA,NA,450,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1010,NA,212,NA,NA,1483
"Scaffold_282",94910,7095,745,336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261,NA,NA,NA,NA,NA,148,9539,180,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,NA,NA,49962,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3122,1156,NA,NA,3075,520,NA,NA,NA,NA,NA,NA,161,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1064,NA,2827,NA,NA,14402
"Scaffold_96",39703,10526,518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1156,634,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15428,NA,NA,NA,NA,NA,589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283,NA,NA,NA,1825,86,NA,NA,NA,NA,NA,NA,NA,110,609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177,NA,1302,NA,NA,6060
"Scaffold_407",128694,69347,3470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,42,861,1105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29999,151,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,456,627,NA,NA,5456,1063,NA,NA,NA,NA,NA,NA,100,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8280,NA,263,NA,NA,7290
"Scaffold_78",218271,28888,3956,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,8,123,70,NA,660,NA,NA,NA,548,41,1947,17438,476,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,652,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,417,NA,NA,57999,1198,NA,NA,67,38,591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,593,671,NA,NA,4199,34353,NA,NA,NA,NA,NA,NA,16767,2567,5744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14773,NA,5212,NA,NA,17952
"Scaffold_396",646658,222920,20363,NA,NA,NA,NA,NA,NA,NA,NA,26,45,NA,NA,760,1903,57,NA,NA,NA,465,NA,NA,285,416,97,NA,1679,NA,NA,NA,1208,636,3486,48227,1137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,536,2983,77,321,NA,NA,NA,NA,NA,NA,NA,NA,1419,1293,2348,173006,33,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3311,637,NA,NA,10352,49792,NA,NA,NA,NA,NA,NA,4670,3818,5644,36,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,37,85,NA,NA,43256,NA,5132,NA,NA,34088
"Scaffold_247",384296,90989,5145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,84,NA,NA,NA,NA,NA,8,129,NA,NA,92,NA,NA,NA,106,NA,126,18420,414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,741,NA,32,81004,574,NA,NA,157,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2220,1361,NA,NA,11236,80582,NA,NA,NA,NA,NA,NA,13438,1995,13640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15988,NA,1711,NA,NA,43600
"Scaffold_95",122295,37630,1601,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,706,NA,NA,NA,NA,445,NA,NA,6,NA,NA,NA,NA,NA,NA,79,NA,559,18545,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,395,28480,452,NA,NA,14,596,2355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3028,1136,NA,NA,2437,5431,NA,NA,NA,NA,NA,NA,530,NA,605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2083,NA,1142,NA,NA,13688
"Scaffold_38",103422,12927,3996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,NA,321,14656,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,216,28759,564,NA,NA,5434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7412,1455,NA,NA,4611,7676,NA,NA,NA,NA,NA,NA,209,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2482,NA,2116,NA,NA,10176
"Scaffold_413",26501692,24722821,66462,154,NA,NA,NA,NA,NA,NA,48,NA,70,79,NA,167,276,163,11,NA,112,413,180,575,414,2787,521,412,693,NA,NA,NA,1510,3333,18757,116790,795,809,84,27,1641,NA,NA,NA,NA,NA,44,4,2746,546,953,1257,NA,NA,NA,NA,26,308,NA,NA,1661,410,12820,159984,10306,NA,NA,2019,708,5496,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,170,6,6228,2777,NA,NA,23553,135060,NA,NA,NA,NA,NA,NA,18307,6443,37877,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,3663,NA,NA,4891,209,1051,2098,2397,658,512,786247,55,34045,514,NA,295212
"Scaffold_375",88558,45301,1771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,51,NA,NA,NA,NA,NA,627,20941,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,NA,158,9109,NA,NA,NA,NA,22,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,832,2166,NA,NA,NA,NA,NA,NA,50,347,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1521,NA,475,NA,NA,4885
"Scaffold_186",207104,183710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585,NA,NA,NA,NA,NA,NA,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7455,NA,188,NA,NA,9163
"Scaffold_248",165342,42119,1437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,137,NA,NA,360,NA,NA,NA,56,NA,233,16509,525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1606,132,23,55329,111,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1349,814,NA,NA,6031,21061,NA,NA,NA,NA,NA,NA,120,185,3609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,3365,NA,1659,NA,NA,8467
"Scaffold_252",314829,161600,18738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,524,NA,NA,NA,NA,NA,NA,NA,264,70,794,23015,568,NA,NA,NA,NA,NA,NA,NA,NA,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224,42,513,58629,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1611,581,NA,NA,8567,8268,NA,NA,NA,NA,NA,NA,1954,NA,881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13577,NA,1472,NA,NA,12799
